Company                               , Year Added, Category, Defunct Date
24M                                   , 2022      , 3       , 
A123                                  , 2022      , 3       , 
Amprius                               , 2022      , 3       , 
Aquion                                , 2022      , 3       , 
Ascend Elements                       , 2023      , 5       , 
Atieva                                , 2022      ,         , 
Atlis                                 , 2022      ,         , 
Blue Current                          , 2022      ,         , 
Cadenza                               , 2022      ,         , 
Canoo                                 , 2022      , 4       , 
Chemix                                , 2022      ,         , 
Conamix                               , 2022      ,         , 
Consult Energy USA                    , 2022      ,         , 
Contemporary Amperex                  , 2022      , 3       , 
Cuberg                                , 2022      , 3       , 
Element Energy                        , 2022      ,         , 
EnergyX                               , 2022      ,         , 
Enersys                               , 2022      ,         , 
Enervenue                             , 2022      ,         , 
Enevate                               , 2022      ,         , 
Enovix                                , 2022      , 3       , 
EnPower                               , 2022      ,         , 
Factorial Energy                      , 2022      ,         , 
FCA US                                , 2022      ,         , 
Feasible                              , 2022      ,         , 
Farasis                               , 2022      ,         , 
Fluence Energy                        , 2022      ,         , 
Ford Motor                            , 2022      , 4       , 
Form Energy                           , 2022      , 3       , 
Group 14                              , 2022      , 2       , 
Innolith                              , 2022      ,         , 
Inobat                                , 2022      ,         , 
Joby Aviation                         , 2022      , 4       , 
Johnson Controls                      , 2022      ,         , 
LG Chem Michigan                      , 2022      , 3       , 
Li-Cycle                              , 2022      , 5       , 
Lilac Solutions                       , 2022      ,         , 
Liminal Insights                      , 2023      , 4       , 
Lithios                               , 2023      , 1       , 
Lordstown                             , 2022      , 4       , 2023
Lucid USA                             , 2022      , 4       , 
Maxwell Technologies                  , 2022      , 3       , 
mitra future technologies inc         , 2022      , 2       , 
Nanograf                              , 2022      ,         , 
Nanoramic                             , 2022      ,         , 
Natron Energy                         , 2022      ,         , 
Nanostar                              , 2022      ,         , 
Nexeon                                , 2022      ,         , 
Nikola                                , 2022      ,         , 
Nio USA                               , 2022      ,         , 
Our Next Energy                       , 2023      , 3       , 
Panasonic Corporation Of North America, 2022      , 4       , 
Polyplus                              , 2022      ,         , 
Qnovo                                 , 2022      , 4       , 
Quantumscape                          , 2022      ,         , 
Redwood Materials                     , 2022      , 5       , 
Recurrent                             , 2022      ,         , 
Rivian                                , 2022      , 4       , 
Romeo Systems                         , 2022      ,         , 2023
Samsung SDI                           , 2022      , 4       , 
Seeo                                  , 2022      ,         , 
Sila Nanotechnologies                 , 2022      , 2       , 
SF Motors                             , 2022      ,         , 
Sion Power                            , 2022      ,         , 
Solidenergy                           , 2022      , 2       , 
Tesla                                 , 2022      , 4       , 
Titan Advanced Energy Solutions       , 2022      ,         , 
Volkswagen                            , 2022      , 4       , 
Wildcat Discovery                     , 2022      , 2       , 
Xalt                                  , 2022      ,         , 
Yotta Energy                          , 2022      ,         , 
Zenlabs Energy                        , 2022      ,         , 
